"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Rogers State University","Oklahoma","OK","Public","4 Year",8616,6870,15486,15210,23826
"Missouri State University","Missouri","MO","Public","4 Year",8755,7452,16207,15342,24097
"Southern Arkansas University Tech","Arkansas","AR","Public","2 Year",2800,5250,8050,6690,9490
"Mills College","California","CA","Private","4 Year",13448,30257,43705,30257,43705
"Northwest Kansas Technical College","Kansas","KS","Public","2 Year",4850,8300,13150,8300,13150
"Livingstone College","North Carolina","NC","Private","4 Year",6794,18297,25091,18297,25091
"Rabbinical College of America","New Jersey","NJ","Private","4 Year",7500,11500,19000,11500,19000
"West Virginia Wesleyan College","West Virginia","WV","Private","4 Year",8856,31640,40496,31640,40496
"Missouri State University: West Plains","Missouri","MO","Public","2 Year",8537,4305,12842,8355,16892
"Penn State Harrisburg","Pennsylvania","PA","Public","4 Year",13280,15198,28478,24450,37730
"Bethune-Cookman University","Florida","FL","Private","4 Year",9412,14814,24226,14814,24226
"Brigham Young University-Idaho","Idaho","ID","Private","4 Year",4592,4118,8710,4118,8710
"Central Washington University","Washington","WA","Public","4 Year",11115,8072,19187,23053,34168
"Fond du Lac Tribal and Community College","Minnesota","MN","Public","2 Year",3598,5258,8856,5258,8856
"La Salle University","Pennsylvania","PA","Private","4 Year",15080,30560,45640,30560,45640
"Ranger College","Texas","TX","Public","2 Year",4231,3065,7296,5765,9996
"St. John's College","New Mexico","NM","Private","4 Year",12148,54118,66266,54118,66266
"Loma Linda University","California","CA","Private","4 Year",11655,35192,46847,35192,46847
"Louisiana State University Health Sciences Center New Orleans","Louisiana","LA","Public","4 Year",5650,6923,12573,13705,19355
"Missouri Valley College","Missouri","MO","Private","4 Year",9150,20600,29750,20600,29750
"Emerson College","Massachusetts","MA","Private","4 Year",17690,46852,64542,46852,64542
"Ramapo College of New Jersey","New Jersey","NJ","Public","4 Year",12450,14374,26824,23715,36165
"United Tribes Technical College","North Dakota","ND","Private","2 Year",5084,4482,9566,4482,9566
"West Virginia University Institute of Technology","West Virginia","WV","Public","4 Year",11390,7464,18854,18648,30038
"Blackburn College","Illinois","IL","Private","4 Year",7930,22410,30340,22410,30340
"Loyola Marymount University","California","CA","Private","4 Year",14490,48522,63012,48522,63012
"Lesley University","Massachusetts","MA","Private","4 Year",16230,28770,45000,28770,45000
"Wagner College","New York","NY","Private","4 Year",14124,47090,61214,47090,61214
"Oklahoma City University","Oklahoma","OK","Private","4 Year",8896,31026,39922,31026,39922
"College of Coastal Georgia","Georgia","GA","Public","4 Year",9520,3971,13491,10578,20098
"Case Western Reserve University","Ohio","OH","Private","4 Year",15190,49042,64232,49042,64232
"Yeshiva College of the Nations Capital","Maryland","MD","Private","4 Year",10400,10200,20600,10200,20600
"University of Texas at San Antonio","Texas","TX","Public","4 Year",11578,9900,21478,24262,35840
"Lawrence Technological University","Michigan","MI","Private","4 Year",9950,33570,43520,33570,43520
"Pearl River Community College","Mississippi","MS","Public","2 Year",4900,3500,8400,5898,10798
"Wesleyan University","Connecticut","CT","Private","4 Year",15060,54914,69974,54914,69974
"Mayville State University","North Dakota","ND","Public","4 Year",7840,6666,14506,9399,17239
"Multnomah University","Oregon","OR","Private","4 Year",8870,25900,34770,25900,34770
"Bowdoin College","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620
"Western New Mexico University","New Mexico","NM","Public","4 Year",9136,6824,15960,15231,24367
"Landmark College","Vermont","VT","Private","2 Year",11840,56800,68640,56800,68640
"Heritage Christian University","Alabama","AL","Private","4 Year",5745,12312,18057,12312,18057
"Hamline University","Minnesota","MN","Private","4 Year",10358,41298,51656,41298,51656
"Lamar University","Texas","TX","Public","4 Year",8920,10192,19112,22642,31562
"Tiffin University","Ohio","OH","Private","4 Year",10600,25000,35600,25000,35600
"Northeast Community College","Nebraska","NE","Public","2 Year",8605,3480,12085,4635,13240
"Oak Hills Christian College","Minnesota","MN","Private","4 Year",6984,17314,24298,17314,24298
"Limestone College","South Carolina","SC","Private","4 Year",9765,26000,35765,26000,35765
"Otero Junior College","Colorado","CO","Public","2 Year",7112,4882,11994,7861,14973
"Visible Music College","Tennessee","TN","Private","4 Year",6000,19500,25500,19500,25500
"Tennessee State University","Tennessee","TN","Public","4 Year",7806,8008,15814,21364,29170
"LDS Business College","Utah","UT","Private","2 Year",5600,3440,9040,3440,9040
"Cameron University","Oklahoma","OK","Public","4 Year",5452,6450,11902,15870,21322
"Niagara University","New York","NY","Private","4 Year",13200,33180,46380,33180,46380
"Southwestern Community College","Iowa","IA","Public","2 Year",7660,5910,13570,6120,13780
"Winona State University","Minnesota","MN","Public","4 Year",9010,9425,18435,15348,24358
"Wesley College","Delaware","DE","Private","4 Year",11717,26406,38123,26406,38123
"Park University","Missouri","MO","Private","4 Year",8200,12650,20850,12650,20850
"University of Texas at Arlington","Texas","TX","Public","4 Year",10302,10250,20552,25134,35436
"SUNY College of Agriculture and Technology at Morrisville","New York","NY","Public","4 Year",13550,8481,22031,12943,26493
"Culinary Institute of America","New York","NY","Private","4 Year",11560,32720,44280,32720,44280
"Sullivan County Community College","New York","NY","Public","2 Year",9828,5690,15518,10504,20332
"Colorado State University","Colorado","CO","Public","4 Year",11964,11831,23795,29732,41696
"Texas A&M University-Kingsville","Texas","TX","Public","4 Year",8760,8462,17222,20912,29672
"Sam Houston State University","Texas","TX","Public","4 Year",9386,10183,19569,22633,32019
"Johns Hopkins University: Peabody Conservatory of Music","Maryland","MD","Private","4 Year",15838,50180,66018,50180,66018
"Southern University and Agricultural and Mechanical College","Louisiana","LA","Public","4 Year",9105,9123,18228,16472,25577
"Torah Temimah Talmudical Seminary","New York","NY","Private","4 Year",3500,11050,14550,11050,14550
"Kansas Wesleyan University","Kansas","KS","Private","4 Year",9500,29500,39000,29500,39000
"University of Wisconsin-Milwaukee","Wisconsin","WI","Public","4 Year",10728,11084,21812,22364,33092
"SUNY College at Purchase","New York","NY","Public","4 Year",13764,8698,22462,18478,32242
"Neumann University","Pennsylvania","PA","Private","4 Year",13020,31400,44420,31400,44420
"Claremont McKenna College","California","CA","Private","4 Year",16705,54405,71110,54405,71110
"University of Indianapolis","Indiana","IN","Private","4 Year",10288,29688,39976,29688,39976
